"","opa_number","street_address","zip_code","principal_due","penalty_due","interest_due","other_charges_due","total_due","is_actionable","payment_agreement","num_years_owed","most_recent_year_owed","oldest_year_owed","year_of_last_assessment","taxable_assessment","mailing_city","mailing_state","general_building_description","building_category","exempt_abatement_assessment","homestead_value","net_tax_value_after_homestead","sheriff_sale","liens_sold_1990s","liens_sold_2015","assessment_under_appeal","year_month","full_address","latitude","longitude","delinquent"
"1",41040500,"5540 PEARL ST",19139,2227.12,274.53,652.48,886.92,4041.05,TRUE,FALSE,7,2021,2015,2022,47300,NA,NA,"house","residential",0,0,662.11,"N",FALSE,"N",FALSE,202206,"5540 Pearl St, Philadelphia, PA, USA",39.96617415,-75.23061774,1
"2",41043200,"5531 PEARL ST",19139,994.75,92.26,106.72,277.5,1471.23,TRUE,FALSE,2,2021,2020,2022,47300,"HARLEYSVILLE","PA","house","residential",0,0,662.11,"N",FALSE,"N",FALSE,202206,"5531 Pearl St, Philadelphia, PA, USA",39.96626437,-75.23040387,1
"3",41050400,"5423-25 HAVERFORD AVE",19139,5829.55,397.31,1463.28,1944.42,9634.56,TRUE,FALSE,6,2021,2016,2022,66900,"ELKINS PARK","PA","house","residential",0,0,936.47,"N",FALSE,"N",FALSE,202206,"5423-25 Haverford Ave, Philadelphia, PA, USA",39.96665238,-75.2289155,1
"4",102503800,"7024 CEDAR PARK AVE",19138,2708.01,201.6,282.08,764.08,3955.77,TRUE,FALSE,2,2021,2020,2022,103500,NA,NA,"house","residential",0,0,1448.79,"N",FALSE,"N",FALSE,202206,"7024 Cedar Park Ave, Philadelphia, PA, USA",40.06072069,-75.15319837,1
"5",102506000,"6921 CEDAR PARK AVE",19138,2085.35,264.38,415.42,678.9,3444.05,TRUE,FALSE,4,2021,2018,2022,124700,NA,NA,"house","residential",0,629.91,1115.64,"N",FALSE,"N",FALSE,202206,"6921 Cedar Park Ave, Philadelphia, PA, USA",40.05933717,-75.15208673,1
"6",102508200,"6965 CEDAR PARK AVE",19138,0,0,-71.93,91.45,19.52,TRUE,FALSE,1,2020,2020,2022,124700,NA,NA,"house","residential",0,629.91,1115.64,"N",FALSE,"N",FALSE,202206,"6965 Cedar Park Ave, Philadelphia, PA, USA",40.05996634,-75.15251434,1
"7",34075400,"5830 BEAUMONT ST",19143,287.12,32.48,40.9,315.21,675.71,TRUE,FALSE,3,2021,2019,2022,65700,NA,NA,"house","residential",0,629.91,289.76,"N",FALSE,"N",FALSE,202206,"5830 Beaumont St, Philadelphia, PA, USA",39.93810926,-75.23215694,1
"8",34077800,"5827 WARRINGTON AVE",19143,285.52,26.83,24.68,234.89,571.92,TRUE,FALSE,2,2021,2020,2022,65900,NA,NA,"house","residential",0,629.91,292.56,"N",FALSE,"N",FALSE,202206,"5827 Warrington Ave, Philadelphia, PA, USA",39.93769,-75.23155695,1
"9",34082800,"5806 WARRINGTON AVE",19143,2213.79,152.02,373.56,816.82,3556.19,TRUE,FALSE,3,2021,2019,2022,63300,NA,NA,"house","residential",0,629.91,256.16,"N",FALSE,"N",FALSE,202206,"5806 Warrington Ave, Philadelphia, PA, USA",39.93778822,-75.23119715,1
"10",34086500,"5924 WARRINGTON AVE",19143,1105.71,73.65,157.12,564.3,1900.78,TRUE,FALSE,3,2021,2019,2022,68300,NA,NA,"house","residential",0,629.91,326.15,"N",FALSE,"N",FALSE,202206,"5924 Warrington Ave, Philadelphia, PA, USA",39.93652675,-75.2329915,1
